Last post,115
,
#Kal,
PAW01 Lisicki over Blinkova,0,
PAW02 Friedsam over Sherif,0,
PAW03 Sasnovich over Masarova,0,
PAW04 Cornet over Trevisan,10,
PAW05 Rodina over Volynets,18,
PAW06 Fernandez over Blinkova,0,
PAW07 Bronzetti over Sherif,12,
PAW08 Errani over Gracheva,0,
PAW09 Samsonova over Noskova,7,
PAW10 Gracheva over Bronzetti,0,
PAW11 Navarro over Masarova,10,
PAW12 Siniakova over Samsonova,15,
PAW13 Siniakova over Bronzetti,10,
,
#Topsin,
PAW01 Lisicki over Blinkova,0,
PAW02 Sasnovich over Masarova,0,
PAW03 Cornet over Trevisan,10,
PAW04 Rodina over Volynets,18,
rePAW05 Kartal over Andreescu,0,
PAW06 Friedsam over Sherif,0,
PAW07 Bronzetti over Grabher,10,
PAW08 Siniakova over Cocciaretto,11,
PAW09 Fernandez over Blinkova,0,
PAW10 Rodina over Siniakova,0,
PAW11 Navarro over Masarova,10,
PAW12 Siniakova over Samsonova,15,
PAW13 Siniakova over Bronzetti,10,
,
#Selena,
rePAW01 Friedsam over Sherif,0,
PAW02 Cornet over Trevisan,10,
PAW03 Rodina over Volynets,18,
PAW04 Fernandez over Blinkova,0,
PAW05 Bronzetti over Sherif,12,
PAW06 Masarova over Andreescu,12,
PAW07 Rodina over Siniakova,0,
PAW08 Navarro over Cornet,10,
PAW09 Gracheva over Bronzetti,0,
PAW10 Navarro over Masarova,10,
PAW11 Samsonova over Siniakova,0,
PAW12 Siniakova over Navarro,9,
PAW13 Siniakova over Bronzetti,10,
,
#BreakToLove,
rePAW01 Siniakova over Cocciaretto,11,
PAW02 Lisicki over Blinkova,0,
PAW03 Friedsam over Sherif,0,
PAW04 Cornet over Trevisan,10,
PAW05 Fernandez over Blinkova,0,
PAW06 Gracheva over Errani,8,
PAW07 Masarova over Andreescu,12,
PAW08 Cornet over Navarro,0,
PAW09 Gracheva over Bronzetti,0,
PAW10 Masarova over Navarro,0,
PAW11 Samsonova over Siniakova,0,
PAW12 Siniakova over Navarro,9,
PAW13 Siniakova over Bronzetti,10,
,
#tonyparkes606,
PAW01 Teichmann over Liu,11,
PAW02 Gracheva over Cristian,7,
PAW03 Grabher over Bronzetti,0,
PAW04 Siniakova over Cocciaretto,11,
PAW05 Samsonova over Noskova,7,
PAW06 Sherif over Bronzetti,0,
PAW07 Rodina over Siniakova,0,
PAW08 Bronzetti over Gracheva,11,
PAW09 Masarova over Navarro,0,
PAW10 Samsonova over Siniakova,0,
PAW11 Navarro over Siniakova,0,
PAW12 Bronzetti over Siniakova,0,
13,,
,
#garlichead,
PAW01 Teichmann over Liu,11,
rPAW02 Fernandez over Blinkova,0,
PAW03 Friedsam over Sherif,0,
PAW04 Bronzetti over Grabher,10,
PAW05 Kartal over Andreescu,0,
PAW06 Siniakova over Cocciaretto,11,
PAW07 Andreescu over Masarova,0,
PAW08 Cornet over Navarro,0,
PAW09 Rodina over Siniakova,0,
PAW10 Gracheva over Bronzetti,0,
PAW11 Navarro over Masarova,10,
PAW12 Siniakova over Bronzetti,10,
13,,
,
#digor,
PAW01 Teichmann over Liu,11,
rePAW02 Gracheva over Errani,8,
PAW03 Bronzetti over Grabher,10,
PAW04 Cocciaretto over Siniakova,0,
PAW05 Andreescu over Masarova,0,
PAW06 Cornet over Navarro,0,
PAW07 Samsonova over Noskova,7,
PAW08 Fernandez over Blinkova,0,
PAW09 Teichmann over Swiatek,0,
PAW10 Bronzetti over Gracheva,11,
PAW11 Navarro over Masarova,10,
PAW12 Navarro over Siniakova,0,
13,,
,
#Meelis,
PAW01 Friedsam over Sherif,0,
PAW02 Teichmann over Liu,11,
PAW03 Siniakova over Cocciaretto,11,
PAW04 Fernandez over Blinkova,0,
PAW05 Bronzetti over Sherif,12,
PAW06 Rodina over Siniakova,0,
PAW07 Teichmann over Swiatek,0,
PAW08 Blinkova over Swiatek,0,
PAW09 Gracheva over Bronzetti,0,
PAW10 Masarova over Navarro,0,
PAW11 Samsonova over Siniakova,0,
12,,
13,,
,
#happydayhk,
rePAW01 Fernandez over Blinkova,0,
PAW02 Friedsam over Sherif,0,
PAW03 Kartal over Andreescu,0,
PAW04 Siniakova over Cocciaretto,11,
PAW05 Bronzetti over Sherif,12,
PAW06 Masarova over Andreescu,12,
PAW07 Rodina over Siniakova,0,
PAW08 Noskova over Samsonova,0,
9,,
10,,
11,,
12,,
13,,
,
#Noah2,
PAW01 Bronzetti over Grabher,10,
RePAW02 Noskova over Samsonova,0,
PAW03 Friedsam over Sherif,0,
PAW04 Teichmann over Liu,11,
PAW05 Kartal over Andreescu,0,
PAW06 Cristian over Gracheva,0,
PAW07 Masarova over Andreescu,12,
PAW08 Bronzetti over Sherif,12,
PAW09 Fernandez over Blinkova,0,
PAW10 Siniakova over Samsonova,15,
PAW11 Blinkova over Swiatek,0,
RePAW12 Siniakova over Bronzetti,10,
PAW13 Navarro over Siniakova,0,
,
#Waz,
rePAW01 Cornet over Navarro,0,
PAW02 Friedsam over Sherif,0,
PAW03 Siniakova over Cocciaretto,11,
PAW04 Teichmann over Liu,11,
PAW05 Andreescu over Masarova,0,
PAW06 Gracheva over Errani,8,
PAW07 Rodina over Siniakova,0,
PAW08 Fernandez over Blinkova,0,
PAW09 Gracheva over Bronzetti,0,
PAW10 Navarro over Masarova,10,
PAW11 Samsonova over Siniakova,0,
PAW12 Siniakova over Navarro,9,
PAW13 Siniakova over Bronzetti,10,
,
#champion88,
PAW01 Maria over Swiatek,0,
PAW02 Teichmann over Liu,11,
Re-PAW03 Teichmann over Swiatek,0,
PAW04 Friedsam over Sherif,0,
PAW05 Grabher over Bronzetti,0,
PAW06 Noskova over Baindl,8,
PAW07 Fernandez over Blinkova,0,
Re-PAW08 Masarova over Navarro,0,
PAW09 Rodina over Siniakova,0,
PAW09 Sherif over Bronzetti,0,
11,,
12,,
13,,
,
#mfr910,
rPAW08 Andreescu over Masarova,0,
PAW02 Bronzetti over Grabher,10,
PAW03 Noskova over Baindl,8,
PAW04 Fernandez over Blinkova,0,
PAW05 Gracheva over Errani,8,
PAW07 Cornet over Navarro,0,
PAW07 Swiatek over Bronzetti,@lt,
PAW08 Siniakova over Navarro,9,
PAW09 Gracheva over Bronzetti,0,
PAW10 Masarova over Navarro,0,
PAW11 Samsonova over Siniakova,0,
12,,
PAW13 Siniakova over Bronzetti,10,
,
#TigerTerry,
rPAW04 Errani over Gracheva,0,
PAW02 Friedsam over Sherif,0,
PAW03 Kartal over Andreescu,0,
PAW04 Siniakova over Cocciaretto,11,
PAW05 Cornet over Navarro,0,
PAW06 Noskova over Samsonova,0,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
,
#croat123,
Paw1: Friedsam over Sherif,0,
PAW2 (replacement): Fernandez over Blinkova,0,
Paw3: Cocciaretto over Siniakova,0,
Paw4: Noskova over Baindl,8,
PAW5: Sherif over Bronzetti,0,
PAW6: Errani over Gracheva,0,
PAW7: Andreescu over Masarova,0,
PAW8: Rodina over Siniakova,0,
9,,
10,,
11,,
12,,
13,,
,
#Chilenaitor,
PAW01 Maria over Swiatek,0,
PAW02 Teichmann over Liu,11,
rePAW03 Gracheva over Errani,8,
PAW04 Friedsam over Sherif,0,
PAW05 Grabher over Bronzetti,0,
PAW06 Andreescu over Masarova,0,
PAW07 Cornet over Navarro,0,
PAW08 Samsonova over Noskova,7,
PAW09 Siniakova over Samsonova,15,
PAW10 Blinkova over Swiatek,0,
PAW11 Bronzetti over Swiatek,@lt,
PAW12 Navarro over Siniakova,0,
13,,
,
#Buitenzorg,
PAW01 Teichmann over Liu,11,
rPAW02 Teichmann over Swiatek,0,
PAW03 Friedsam over Sherif,0,
PAW04 Siniakova over Cocciaretto,11,
PAW05 Grabher over Bronzetti,0,
PAW06 Fernandez over Blinkova,0,
PAW07 Cornet over Navarro,0,
PAW08 Rodina over Siniakova,0,
PAW09 Noskova over Samsonova,0,
10,,
11,,
12,,
13,,
,
#igmIGM,
PAW01 Friedsam over Sherif,0,
PAW02 Teichmann over Liu,11,
PAW03 Cornet over Navarro,0,
PAW04 Noskova over Samsonova,0,
PAW05 Bronzetti over Sherif,12,
PAW06 Rodina over Siniakova,0,
PAW07 Fernandez over Blinkova,0,
PAW08 Bronzetti over Gracheva,11,
PAW09 Navarro over Masarova,10,
PAW10 Siniakova over Samsonova,15,
PAW12 Navarro over Siniakova,0,
PAW11 Bronzetti over Swiatek,@lt,
PAW13 Siniakova over Bronzetti,10,
,
#Tepasaf,
RePAW01 Fernandez over Blinkova,0,
PAW02 Siniakova over Cocciaretto,11,
3,,
PAW04 Sherif over Bronzetti,0,
PAW05 Gracheva over Errani,8,
PAW06 Andreescu over Masarova,0,
PAW07 Navarro over Cornet,10,
PAW08 Rodina over Siniakova,0,
PAW09 Navarro over Masarova,10,
PAW10 Bronzetti over Swiatek,@lt,
PAW11 Navarro over Siniakova,0,
12,,
PAW13 Siniakova over Bronzetti,10,
,
#pazo77,
paw01 Errani over Gracheva,0,
paw02 Cornet over Navarro,0,
paw03 Samsonova over Noskova,7,
paw04 Andreescu over Masarova,0,
paw05 Rodina over Siniakova,0,
paw06 Sherif over Bronzetti,0,
paw07 Teichmann over Swiatek,0,
paw08 Fernandez over Blinkova,0,
paw09 Bronzetti over Gracheva,11,
paw10 Navarro over Masarova,10,
paw11 Siniakova over Samsonova,15,
paw12 Blinkova over Swiatek,0,
RePaw13 Siniakova over Bronzetti,10,
